,company,job-title,overall-ratings,work-balance-stars,culture-values-stars,carrer-opportunities-stars,comp-benefit-stars,senior-mangemnet-stars,helpful-count
145,google,Anti-abuse Associate,5.0,5.0,5.0,5.0,5.0,5.0,1
148,google,Senior Program Manager,5.0,4.0,5.0,5.0,3.0,4.0,0
150,google,Product Marketing Manager,3.0,1.0,3.0,5.0,5.0,3.0,1
151,google,Electrical Engineer,1.0,1.0,1.0,1.0,1.0,1.0,12
152,google,Tax Director,4.0,none,none,none,none,none,0
155,google,Designer,5.0,4.0,5.0,5.0,5.0,4.0,4
160,google,Product Manager,4.0,3.0,4.0,5.0,5.0,4.0,0
181,google,Data Analyst,3.0,5.0,3.0,3.0,3.0,2.0,0
186,google,Senior Recruiter,5.0,4.0,5.0,5.0,5.0,4.0,1
188,google,Hardware Engineer,1.0,2.0,1.0,2.0,3.0,1.0,5
189,google,Account Strategist,5.0,5.0,5.0,5.0,5.0,5.0,3
191,google,Associate Compensation Analyst,5.0,none,none,none,none,none,0
192,google,Software Engineer,5.0,5.0,5.0,5.0,5.0,5.0,0
194,google,Account Manager,5.0,5.0,5.0,5.0,5.0,5.0,1
197,google,Senior Software Engineer,5.0,5.0,5.0,5.0,5.0,5.0,0
198,google,Accountant,5.0,5.0,5.0,5.0,5.0,5.0,3
199,google,Video Producer,5.0,5.0,5.0,5.0,5.0,5.0,0
200,google,Strategy and Programs Manager,4.0,5.0,4.0,3.0,4.0,4.0,0
201,google,Software Engineer,4.0,3.0,4.0,3.0,4.0,3.0,0
202,google,Software Developer,4.0,none,none,none,none,none,0
206,google,Assistant,5.0,5.0,5.0,5.0,5.0,5.0,0
209,google,International Product Manager,4.0,4.0,4.0,5.0,4.0,4.0,0
213,google,BSA Analyst,4.0,3.0,4.0,3.0,5.0,3.0,0
215,google,Part Time Cashier,5.0,5.0,5.0,5.0,3.0,5.0,0
218,google,Technical Program Manager,5.0,5.0,5.0,5.0,5.0,5.0,0
220,google,Software Engineer,4.0,2.0,5.0,5.0,5.0,3.0,2
222,google,"Programmer, Security Engineer, Cloud Computing",5.0,5.0,4.0,5.0,4.0,5.0,0
223,google,Software Engineer,2.0,3.0,2.0,2.0,4.0,4.0,9
224,google,Administrative Business Partner,5.0,5.0,5.0,4.0,5.0,5.0,1
225,google,Medical Sales Representative,5.0,4.0,5.0,4.0,4.0,4.0,0
229,google,Software Engineer,5.0,5.0,5.0,5.0,5.0,4.0,0
231,google,Software Engineer,5.0,5.0,5.0,5.0,5.0,5.0,0
235,google,Logistic Management,5.0,3.0,5.0,5.0,3.0,2.0,1
237,google,"Director of Developmental Sales &amp, Marketing",1.0,none,none,none,none,none,8
238,google,Senior Software Engineer,5.0,5.0,5.0,5.0,5.0,5.0,1
240,google,Intern,5.0,none,none,none,none,none,0
241,google,Software Engineer-II,5.0,5.0,5.0,5.0,5.0,5.0,0
243,google,Worker,5.0,4.0,4.0,5.0,5.0,5.0,1
245,google,Product Manager,5.0,3.0,5.0,4.0,5.0,4.0,15
246,google,Copywriter,5.0,none,none,none,none,none,0
247,google,Account Executive,5.0,4.0,5.0,5.0,4.0,5.0,0
249,google,"Software Engineer, Tools and Infrastructures",5.0,5.0,5.0,5.0,5.0,5.0,0
251,google,Intern - Hourly,3.0,4.0,4.0,5.0,3.0,4.0,0
253,google,Google Engineering Practicum,5.0,5.0,5.0,5.0,5.0,5.0,0
255,google,Software Engineer,5.0,5.0,5.0,5.0,5.0,5.0,0
256,google,SRE,5.0,2.0,4.0,4.0,5.0,2.0,0
261,google,Test Manager,5.0,5.0,5.0,4.0,5.0,3.0,0
266,google,Software Engineer,5.0,4.0,5.0,4.0,4.0,4.0,0
269,google,Software Engineer,5.0,4.0,5.0,5.0,5.0,5.0,0
271,google,Strategic Partner Development Lead,4.0,5.0,4.0,3.0,5.0,4.0,0
272,google,Software Engineer,4.0,4.0,5.0,5.0,5.0,5.0,1
273,google,Intern,4.0,none,none,none,none,none,1
283,google,Software Engineer,5.0,5.0,3.0,1.0,5.0,3.0,0
284,google,Software Engineer,5.0,5.0,5.0,5.0,5.0,5.0,0
285,google,SMB Account Executive,4.0,4.0,5.0,4.0,4.0,5.0,0
290,google,Regional Sales Director,5.0,2.0,4.0,5.0,4.0,5.0,1
293,google,Director,4.0,4.0,5.0,3.0,5.0,5.0,6
298,google,Head of A Department,3.0,3.0,4.0,3.0,2.0,3.0,2
304,google,Software Engineer,5.0,5.0,5.0,5.0,5.0,5.0,1
306,google,Customer Engineer,5.0,5.0,5.0,5.0,5.0,4.0,0
307,google,Support Specialist,4.0,3.0,5.0,4.0,5.0,2.0,0
309,google,Software Engineer,5.0,3.0,5.0,5.0,5.0,5.0,0
312,google,Sales Executive,5.0,5.0,5.0,4.0,5.0,5.0,0
315,google,Certified Massage Therapist,4.0,3.0,5.0,4.0,5.0,4.0,1
316,google,Artificial Intelligence Scientist,5.0,2.0,5.0,5.0,4.0,5.0,1
319,google,Technical Architect,5.0,5.0,5.0,5.0,5.0,5.0,0
321,google,Product Manager,1.0,3.0,3.0,1.0,5.0,1.0,8
324,google,Operations Engineer,3.0,4.0,4.0,3.0,4.0,2.0,3
325,google,Director,3.0,3.0,3.0,1.0,4.0,3.0,0
328,google,Solutions Consultant,3.0,3.0,5.0,4.0,1.0,3.0,7
332,google,Software Engineer,4.0,3.0,4.0,5.0,4.0,3.0,0
335,google,Senior Software Engineer,5.0,5.0,5.0,5.0,5.0,5.0,2
336,google,Program Manager,5.0,5.0,5.0,5.0,5.0,5.0,1
351,google,Intern,3.0,5.0,3.0,1.0,5.0,3.0,1
352,google,Technical Account Manager,5.0,5.0,5.0,5.0,5.0,5.0,3
353,google,Student Worker,5.0,5.0,5.0,5.0,5.0,5.0,0
355,google,"Software Engineer, Tools and Infrastructure",5.0,5.0,5.0,4.0,5.0,3.0,0
356,google,Executive Sous Chef,5.0,3.0,5.0,3.0,5.0,4.0,0
358,google,Staff Software Engineer,5.0,5.0,5.0,5.0,5.0,5.0,0
361,google,Associate Account Strategist,5.0,3.0,5.0,5.0,5.0,5.0,0
365,google,Software Engineer,5.0,5.0,5.0,5.0,4.0,3.0,0
367,google,Senior Software Engineer,5.0,5.0,4.0,5.0,5.0,4.0,0
369,google,Sof,5.0,5.0,5.0,5.0,5.0,5.0,0
373,google,Product Specialist,5.0,4.0,4.0,5.0,5.0,4.0,0
375,google,Senior Account Strategist,5.0,3.0,4.0,5.0,5.0,5.0,0
376,google,Software Engineer III,5.0,5.0,5.0,5.0,5.0,4.0,0
377,google,Software Engineer,5.0,none,none,none,none,none,0
381,google,Account Manager,2.0,1.0,4.0,2.0,5.0,1.0,12
385,google,Program Manager,5.0,5.0,5.0,4.0,4.0,5.0,1
386,google,Chief Executive Officer,2.0,4.0,1.0,3.0,5.0,1.0,1
387,google,Partner Development Manager,4.0,3.0,4.0,4.0,5.0,2.0,0
389,google,Store Leader,1.0,3.0,5.0,3.0,3.0,3.0,0
391,google,Business Data Analyst,4.0,5.0,5.0,5.0,4.0,4.0,1
394,google,Software Engineer,3.0,none,none,none,none,none,0
396,google,Product Manager,5.0,3.0,5.0,5.0,5.0,4.0,0
399,google,Software Engineer,5.0,5.0,5.0,5.0,5.0,5.0,0
401,google,Freelancer,5.0,5.0,4.0,5.0,5.0,4.0,0
402,google,Software Engineer,5.0,3.0,4.0,5.0,5.0,4.0,0
403,google,Educator,5.0,none,none,none,none,none,0
404,google,Senior Product Manager,5.0,4.0,5.0,4.0,3.0,4.0,1
405,google,Sales,3.0,3.0,none,3.0,3.0,3.0,1
406,google,Software Engineer,5.0,4.0,4.0,5.0,5.0,4.0,3
407,google,IT Resident Fixed Term,5.0,4.0,5.0,4.0,4.0,4.0,0
411,google,Senior Interactive Designer/Product Technology Manager | User Experience,5.0,4.0,5.0,3.0,5.0,3.0,0
412,google,Product Manager,4.0,5.0,5.0,5.0,5.0,5.0,0
413,google,Fulfillment Lead,4.0,5.0,4.0,3.0,4.0,4.0,1
415,google,Operations Engineer,1.0,3.0,5.0,2.0,2.0,1.0,6
418,google,Account Manager,4.0,5.0,5.0,3.0,3.0,5.0,3
420,google,PGM,4.0,4.0,4.0,3.0,4.0,4.0,1
421,google,Technical Account Manager,5.0,5.0,5.0,4.0,5.0,4.0,0
428,google,Web Developer,4.0,4.0,3.0,4.0,5.0,4.0,1
430,google,Staff Software Engineer,5.0,4.0,4.0,4.0,5.0,4.0,0
431,google,Technical Program Manager,3.0,none,none,none,none,none,2
432,google,Inside Sales Representative,4.0,5.0,5.0,5.0,5.0,5.0,0
440,google,Sales,4.0,3.0,4.0,3.0,4.0,1.0,0
441,google,Senior Software Engineer,4.0,4.0,4.0,3.0,4.0,none,0
442,google,Software Engineer,5.0,5.0,5.0,5.0,5.0,5.0,2
443,google,Software Engineer,5.0,5.0,5.0,5.0,5.0,4.0,1
444,google,Visual Designer,5.0,5.0,5.0,5.0,4.0,4.0,0
445,google,Intern,5.0,3.0,5.0,4.0,4.0,3.0,0
446,google,Software Engineer,4.0,2.0,4.0,5.0,5.0,3.0,1
447,google,Senior Software Engineer,5.0,5.0,5.0,5.0,5.0,5.0,1
455,google,Technical Recruiter,5.0,3.0,5.0,4.0,5.0,4.0,0
457,google,Software Engineer,4.0,3.0,4.0,3.0,5.0,4.0,0
462,google,Software Engineer,4.0,4.0,4.0,4.0,4.0,3.0,1
463,google,CRA,2.0,2.0,4.0,1.0,1.0,1.0,0
465,google,Program Manager,3.0,2.0,3.0,3.0,5.0,4.0,4
466,google,Vice President,5.0,5.0,5.0,5.0,5.0,5.0,0
467,google,Global Strategy Lead,5.0,4.0,5.0,5.0,5.0,5.0,0
468,google,Program Manager,4.0,4.0,4.0,2.0,5.0,4.0,7
475,google,Engineer,5.0,3.0,5.0,5.0,5.0,4.0,0
476,google,Software Engineer,5.0,5.0,5.0,5.0,5.0,3.0,0
478,google,Product Manager,4.0,3.0,3.0,4.0,4.0,3.0,1
480,google,Software Engineer,3.0,5.0,1.0,1.0,2.0,1.0,14
481,google,Software Engineer,5.0,5.0,5.0,5.0,5.0,5.0,2
485,google,Video Production Specialist,4.0,4.0,4.0,4.0,5.0,4.0,1
494,google,Associate Account Strategist,4.0,5.0,3.0,2.0,4.0,2.0,0
499,google,Software Engineer,4.0,5.0,3.0,4.0,5.0,3.0,0
500,google,Senior Software Engineer,2.0,4.0,2.0,2.0,4.0,2.0,1
503,google,Google Engineering Practicum,5.0,5.0,5.0,4.0,5.0,5.0,0
506,google,Software Engineer,5.0,3.0,4.0,4.0,4.0,4.0,1
508,google,Senior Program Manager,3.0,4.0,3.0,3.0,4.0,2.0,2
510,google,Sales,1.0,1.0,1.0,1.0,1.0,1.0,2
513,google,Product Manager,4.0,4.0,5.0,3.0,5.0,3.0,0
514,google,Recruiter,2.0,1.0,4.0,4.0,1.0,1.0,6
515,google,TPM,5.0,5.0,5.0,5.0,5.0,5.0,0
521,google,Senior Staff Engineer/Manager,5.0,4.0,5.0,5.0,4.0,5.0,3
522,google,SWE,4.0,5.0,4.0,5.0,4.0,4.0,0
523,google,Internship,5.0,5.0,5.0,5.0,5.0,5.0,0
526,google,Administrative Business Partner,2.0,1.0,1.0,1.0,1.0,1.0,3
529,google,Program Manager,3.0,2.0,3.0,2.0,4.0,3.0,0
531,google,Software Engineer,5.0,5.0,5.0,5.0,5.0,5.0,0
532,google,Senior Account Executive,2.0,1.0,3.0,1.0,5.0,2.0,6
533,google,Senior Member of Technical Staff,5.0,5.0,5.0,4.0,5.0,5.0,0
534,google,Software Development Engineer,5.0,3.0,4.0,5.0,5.0,4.0,0
538,google,Software Engineer,3.0,4.0,2.0,2.0,5.0,3.0,4
546,google,Project Coordinator,3.0,4.0,5.0,1.0,3.0,3.0,3
550,google,Monetization Analyst,5.0,4.0,4.0,3.0,5.0,4.0,3
557,google,Data Quality Evaluator,5.0,5.0,3.0,3.0,3.0,3.0,2
558,google,Software Engineer,5.0,5.0,5.0,4.0,4.0,4.0,0
561,google,Software Engineer,5.0,5.0,5.0,5.0,5.0,5.0,3
564,google,"Product Manager, Technology",5.0,2.0,5.0,5.0,5.0,5.0,5
567,google,Software Engineer,5.0,5.0,5.0,5.0,5.0,5.0,0
570,google,Strategist,5.0,none,none,none,none,none,0
571,google,Senior DevOps and Linux Systems Engineer,5.0,5.0,5.0,5.0,4.0,5.0,0
574,google,Software Engineering,5.0,5.0,5.0,5.0,5.0,5.0,0
576,google,IT Field Technician,5.0,5.0,5.0,5.0,5.0,5.0,0
582,google,Software Engineer,5.0,5.0,5.0,5.0,5.0,5.0,1
583,google,Senior Account Manager,5.0,4.0,5.0,5.0,4.0,5.0,0
585,google,Employee,5.0,3.0,5.0,5.0,5.0,4.0,0
587,google,Principal Account Manager,5.0,5.0,5.0,5.0,5.0,5.0,5
589,google,"Chief Technology Officer, Vice President Cloud",5.0,4.0,5.0,5.0,5.0,5.0,1
590,google,Staff Software Engineer,3.0,3.0,1.0,5.0,5.0,3.0,0
593,google,Software Engineer,3.0,3.0,3.0,3.0,3.0,3.0,7
594,google,TPM,4.0,5.0,4.0,3.0,4.0,3.0,1
602,google,Project Manager,1.0,1.0,1.0,3.0,3.0,1.0,8
604,google,Site Reliability Engineer Manager,5.0,5.0,5.0,5.0,5.0,5.0,0
606,google,Data Analyst,5.0,4.0,5.0,5.0,4.0,5.0,0
607,google,Researcher,2.0,2.0,1.0,2.0,2.0,1.0,1
608,google,Intern,3.0,3.0,4.0,5.0,4.0,3.0,1
610,google,Engineering,4.0,3.0,4.0,5.0,5.0,4.0,1
612,google,Manager,5.0,5.0,5.0,5.0,5.0,5.0,1
616,google,Engineer,4.0,5.0,2.0,5.0,5.0,2.0,0
617,google,QA Developer,1.0,2.0,1.0,2.0,3.0,2.0,3
618,google,Compliance Specialist,5.0,5.0,5.0,5.0,5.0,5.0,0
621,google,Wireless Team Lead,5.0,3.0,4.0,4.0,5.0,4.0,0
622,google,Program Manager,2.0,2.0,2.0,2.0,5.0,3.0,4
623,google,Security,4.0,3.0,4.0,2.0,1.0,3.0,0
631,google,Software UI Designer,4.0,4.0,5.0,5.0,4.0,4.0,0
633,google,Test Engineer,5.0,5.0,5.0,5.0,5.0,5.0,1
635,google,Senior Recruiter,1.0,1.0,1.0,1.0,5.0,1.0,14
637,google,Senior Systems Engineer,4.0,none,none,none,none,none,0
639,google,Senior Chief Director of Algebraic Engineering,5.0,1.0,5.0,1.0,5.0,5.0,1
640,google,Financial Leadership Development Program,5.0,1.0,4.0,5.0,5.0,4.0,1
641,google,Program Manager,5.0,3.0,5.0,5.0,5.0,5.0,2
642,google,Software Engineer,4.0,3.0,4.0,5.0,5.0,4.0,1
643,google,Software Engineer,3.0,4.0,4.0,4.0,4.0,4.0,0
644,google,Software Engineer,5.0,4.0,5.0,4.0,5.0,5.0,0
648,google,University Recruiter,5.0,5.0,5.0,5.0,5.0,5.0,2
653,google,Programmer,5.0,4.0,5.0,5.0,5.0,5.0,0
655,google,Executive Director,5.0,5.0,5.0,5.0,5.0,5.0,0
656,google,Senior Software Engineer,5.0,none,none,none,none,none,0
657,google,Partner,4.0,5.0,4.0,3.0,5.0,2.0,0
659,google,Software Engineer,2.0,1.0,1.0,2.0,3.0,1.0,3
660,google,SWE,5.0,5.0,5.0,4.0,5.0,4.0,0
663,google,"Product Marketing Manager, Google Cloud",3.0,2.0,4.0,4.0,5.0,2.0,8
666,google,Product Marketing Manager,5.0,5.0,5.0,5.0,5.0,5.0,0
669,google,Program Manager,4.0,3.0,4.0,4.0,4.0,3.0,0
673,google,Software Engineer,5.0,5.0,5.0,5.0,5.0,5.0,3
678,google,Technical Solutions Consultant,5.0,5.0,5.0,5.0,5.0,5.0,0
679,google,Account Executive,5.0,5.0,5.0,5.0,5.0,4.0,0
681,google,Software Engineer,1.0,1.0,1.0,1.0,1.0,1.0,10
683,google,Paralegal,5.0,5.0,5.0,5.0,5.0,5.0,0
685,google,Project Manager,5.0,5.0,5.0,5.0,5.0,4.0,0
687,google,Designer,2.0,1.0,3.0,2.0,4.0,5.0,14
690,google,Human Resources Manager,4.0,4.0,4.0,3.0,4.0,4.0,0
693,google,Recruiter,3.0,3.0,2.0,3.0,5.0,2.0,5
694,google,Marketing Director,5.0,5.0,5.0,3.0,5.0,4.0,4
695,google,Marketing Director,3.0,2.0,3.0,3.0,4.0,3.0,2
697,google,Brand,3.0,2.0,4.0,2.0,5.0,1.0,5
702,google,Senior Software Engineer,5.0,5.0,4.0,5.0,5.0,5.0,0
706,google,Partner Technology Manager,4.0,3.0,4.0,4.0,4.0,3.0,0
707,google,Software Engineer,4.0,none,none,none,none,none,2
713,google,Sales Manager,4.0,4.0,5.0,3.0,4.0,4.0,2
715,google,Tech Lead/Manager,4.0,4.0,4.0,4.0,5.0,3.0,0
716,google,Sales Associate,5.0,5.0,4.0,4.0,5.0,4.0,1
718,google,Intern,5.0,5.0,5.0,5.0,5.0,5.0,0
722,google,Managing Director Partnerships,5.0,4.0,4.0,4.0,4.0,4.0,0
723,google,Software Engineer,5.0,5.0,5.0,5.0,5.0,5.0,0
725,google,Finance Manager,5.0,5.0,5.0,5.0,5.0,5.0,0
727,google,Systems Engineer,5.0,4.0,5.0,5.0,5.0,5.0,0
729,google,Software Engineer,4.0,4.0,4.0,4.0,5.0,2.0,1
732,google,Pmm,5.0,5.0,5.0,5.0,5.0,4.0,0
734,google,Software Engineer,5.0,5.0,5.0,5.0,5.0,5.0,0
737,google,Engineer,4.0,3.0,3.0,4.0,5.0,3.0,0
746,google,Senior Site Reliability Engineer,4.0,5.0,3.0,4.0,4.0,4.0,1
747,google,Cloud Solutions Consultant,1.0,1.0,1.0,1.0,3.0,1.0,8
748,google,Programmer Analyst,5.0,4.0,5.0,5.0,5.0,4.0,0
751,google,Software Engineer,4.0,3.0,3.0,5.0,4.0,3.0,0
754,google,Brand Ambassador,4.0,3.0,5.0,4.0,3.0,4.0,0
755,google,Receptionist,4.0,5.0,2.0,1.0,2.0,2.0,3
756,google,"Software Engineer, Tools &amp, Infrastructure",5.0,5.0,5.0,5.0,5.0,5.0,4
757,google,EXPORT CONSULTANT,5.0,3.0,5.0,5.0,3.0,2.0,0
758,google,Communications Manager,4.0,3.0,5.0,5.0,5.0,4.0,0
759,google,Senior Program Manager,4.0,3.0,2.0,2.0,5.0,2.0,3
760,google,Software Engineer,5.0,5.0,5.0,5.0,5.0,5.0,1
762,google,Senior Software Engineer,5.0,5.0,5.0,5.0,5.0,5.0,0
763,google,Senior Vendor Program Manager,4.0,4.0,3.0,4.0,5.0,3.0,1
764,google,Senior Engineering Manager,3.0,2.0,2.0,2.0,5.0,3.0,19
765,google,Software Engineer,5.0,5.0,5.0,5.0,5.0,5.0,4
766,google,Software Engineer,4.0,4.0,4.0,3.0,4.0,5.0,1
771,google,Software Engineer,5.0,5.0,5.0,5.0,5.0,5.0,0
772,google,Operations Specialist,4.0,5.0,4.0,3.0,3.0,4.0,0
774,google,Operations Assembler,3.0,4.0,3.0,2.0,4.0,2.0,4
776,google,Product Manager,5.0,4.0,4.0,5.0,5.0,5.0,3
778,google,Program Manager,4.0,5.0,4.0,2.0,4.0,3.0,1
782,google,Photographer,5.0,5.0,5.0,3.0,3.0,4.0,0
785,google,Helper Assistant,4.0,3.0,3.0,4.0,3.0,3.0,0
786,google,Supply Chain Program Manager,5.0,5.0,4.0,4.0,5.0,3.0,2
789,google,Mechanical Engineer,4.0,1.0,3.0,4.0,3.0,3.0,4
790,google,Product Manager,5.0,5.0,5.0,5.0,5.0,5.0,0
792,google,Software Engineer,4.0,3.0,5.0,4.0,5.0,4.0,6
798,google,Senior Software Engineer,4.0,5.0,3.0,4.0,5.0,2.0,0
802,google,Senior Chief WiFi Rocket Engineer,4.0,4.0,5.0,5.0,5.0,5.0,0
806,google,Technical Product Manager,5.0,none,none,none,none,none,0
808,google,Datacenter Facilities Technician,4.0,5.0,5.0,4.0,4.0,4.0,2
809,google,Inside Sales Google Cloud,4.0,4.0,4.0,1.0,4.0,1.0,5
811,google,Software Engineer,3.0,5.0,5.0,2.0,4.0,4.0,2
812,google,Senior Software Engineer,5.0,5.0,5.0,5.0,5.0,4.0,1
814,google,Technical Sourcer,4.0,5.0,5.0,3.0,4.0,3.0,10
819,google,Junior Software Engineer,5.0,3.0,4.0,5.0,5.0,4.0,0
823,google,Software Engineer,3.0,3.0,4.0,3.0,4.0,3.0,1
825,google,Senior Product Manager,5.0,5.0,5.0,5.0,5.0,5.0,0
826,google,GA - Account Executive,5.0,3.0,5.0,4.0,5.0,3.0,1
827,google,Solutions Engineer,5.0,none,none,none,none,none,0
832,google,Technical Program Manager,5.0,4.0,5.0,4.0,4.0,4.0,0
834,google,Software Engineer,4.0,4.0,4.0,3.0,5.0,3.0,0
836,google,Software Engineer,5.0,5.0,4.0,4.0,5.0,3.0,3
837,google,Lead Account Strategist,5.0,4.0,5.0,5.0,5.0,5.0,0
840,google,Global Product Lead,5.0,5.0,5.0,5.0,4.0,5.0,0
844,google,Senior Account Executive,4.0,5.0,5.0,5.0,5.0,2.0,1
847,google,Customer Success Manager,5.0,3.0,4.0,4.0,5.0,3.0,1
848,google,Corporate Trainer,5.0,5.0,5.0,5.0,5.0,5.0,2
851,google,Manager,4.0,5.0,3.0,4.0,4.0,4.0,0
854,google,Software Engineer,5.0,5.0,5.0,4.0,5.0,4.0,0
855,google,Software Engineer,4.0,5.0,4.0,4.0,4.0,4.0,0
857,google,Engineering Manager,4.0,4.0,4.0,3.0,5.0,2.0,10
860,google,Quantitative User Experience Researcher,4.0,4.0,5.0,2.0,5.0,2.0,0
863,google,Staff Software Engineer,5.0,4.0,4.0,4.0,5.0,4.0,1
864,google,Senior Software Engineer,5.0,5.0,5.0,5.0,5.0,5.0,1
868,google,Program Manager,5.0,5.0,5.0,none,4.0,none,2
869,google,Software Engineer,4.0,none,none,none,none,none,0
870,google,Information Technology Resident,5.0,none,none,none,none,none,0
871,google,Staffing,4.0,4.0,3.0,2.0,3.0,3.0,0
872,google,Software Developer,1.0,1.0,1.0,1.0,1.0,1.0,4
875,google,Senior Software Development Engineer,5.0,5.0,5.0,5.0,5.0,5.0,0
879,google,Senior Software Engineer,4.0,none,none,none,none,none,0
880,google,Software,4.0,4.0,4.0,4.0,4.0,4.0,0
884,google,Staff Software Engineer,4.0,5.0,4.0,4.0,5.0,3.0,3
887,google,Systems Analyst,5.0,4.0,5.0,4.0,5.0,4.0,1
889,google,People Analyst,4.0,4.0,4.0,4.0,5.0,5.0,0
893,google,Software Engineer(Internship),5.0,5.0,5.0,5.0,5.0,5.0,0
901,google,Recruiter,5.0,5.0,5.0,5.0,5.0,5.0,1
909,google,Staff Software Engineer,5.0,3.0,5.0,5.0,5.0,4.0,0
910,google,Front End Developer,5.0,5.0,5.0,5.0,5.0,5.0,0
911,google,Engineer,4.0,5.0,5.0,5.0,5.0,5.0,0
914,google,Product Marketing Manager,5.0,5.0,5.0,3.0,5.0,4.0,1
923,google,Software Engineer,5.0,5.0,5.0,5.0,5.0,5.0,0
925,google,Senior Crotcheter,5.0,4.0,4.0,5.0,5.0,5.0,0
926,google,Marketing Associate,5.0,5.0,5.0,5.0,5.0,5.0,0
927,google,Manager,5.0,4.0,3.0,5.0,4.0,3.0,1
928,google,Senior Program Manager,5.0,4.0,5.0,5.0,4.0,5.0,0
929,google,Software Engineer,5.0,5.0,5.0,5.0,5.0,5.0,1
933,google,Software Engineer,5.0,5.0,4.0,5.0,5.0,5.0,0
935,google,Sales Manager,4.0,3.0,4.0,3.0,5.0,4.0,0
937,google,Senior Software Engineer,5.0,5.0,4.0,5.0,5.0,4.0,5
938,google,Software Engineer,5.0,5.0,4.0,5.0,5.0,4.0,1
939,google,IT Audit Senior,5.0,3.0,3.0,5.0,5.0,2.0,0
945,google,Developer,2.0,2.0,4.0,2.0,2.0,2.0,0
950,google,Senior Software Engineer,5.0,4.0,4.0,5.0,5.0,4.0,0
953,google,Intern - Hourly,4.0,3.0,3.0,4.0,4.0,4.0,0
959,google,Account Manager,5.0,5.0,5.0,5.0,5.0,5.0,0
962,google,Software Engineer,4.0,4.0,4.0,4.0,4.0,4.0,0
966,google,Sales Ops,3.0,none,none,none,none,none,1
